bar_date,close,rsi,sma5,sma20,anchor,zone_drop,filter_score,action,qty,cash_used
2026-07-31,64.62,43.39,62.13,69.27,87.22,-25.91,2,HOLD,0,0.0
2026-08-03,67.96,48.21,63.04,68.84,87.22,-22.08,3,BUY_NEW,7,475.72
2026-08-04,74.82,56.42,65.69,68.97,87.22,-14.22,2,HOLD,0,0.0
2026-08-05,72.84,53.77,68.71,68.98,87.22,-16.49,1,HOLD,0,0.0
2026-08-06,72.03,52.68,70.45,68.76,87.22,-17.42,2,HOLD,0,0.0
2026-08-07,74.47,55.6,72.42,68.64,87.22,-14.62,2,HOLD,0,0.0
2026-08-10,73.8,54.6,73.59,68.69,87.22,-15.39,1,HOLD,0,0.0
2026-08-11,73.06,53.46,73.24,68.6,87.22,-16.23,0,HOLD,0,0.0
2026-08-12,74.6,55.54,73.59,68.6,87.22,-14.47,1,HOLD,0,0.0
2026-08-13,77.15,58.82,74.62,68.92,87.22,-11.55,2,HOLD,0,0.0
2026-08-14,76.79,58.17,75.08,69.39,87.22,-11.96,1,HOLD,0,0.0
2026-08-18,72.53,50.53,75.49,69.88,87.22,-16.84,0,HOLD,0,0.0
2026-08-19,72.06,49.75,74.99,69.97,87.22,-17.38,0,HOLD,0,0.0
2026-08-20,70.48,47.11,73.65,70.18,87.22,-19.19,0,HOLD,0,0.0
2026-08-21,71.17,48.4,72.53,70.54,87.22,-18.4,0,HOLD,0,0.0
2026-08-24,69.01,44.73,71.05,70.82,87.22,-20.88,1,HOLD,0,0.0
2026-08-25,70.27,47.24,70.6,71.26,87.22,-19.43,1,HOLD,0,0.0
2026-08-26,70.47,47.65,70.28,71.89,87.22,-19.2,2,HOLD,0,0.0
2026-08-27,73.3,53.15,70.84,72.39,87.22,-15.96,2,HOLD,0,0.0
2026-08-28,71.85,50.24,70.98,72.75,87.22,-17.62,2,HOLD,0,0.0
